Label,Description
1,Restrictions on exit ramp due to accident on I-20 Westbound at GA-70 Fulton Industrial Blvd.
1,Slow traffic due to accident on I-285 Southbound at Exit 12 US-278 Donald Lee Hollowell Pkwy.
0,Accident on GA-166 Arthur Langford Pkwy at Sylvan Rd.
1,Accident on I-75 Southbound at Exits 242 243 I-85.
1,Slow traffic and 2nd left lane blocked due to accident on I-75 Northbound at Exits 250 251 I-85.
1,Slow traffic due to accident on I-75 Northbound at Exits 250 251 I-85.
0,Accident on Pryor St at Martin Luther King Jr Dr.
1,Slow traffic due to accident on I-85 I-75 Southbound at Exit 250 I-75.
1,Slow traffic due to accident on I-85 I-75 Southbound at Exit 249D I-75.
1,Accident on I-75 Northbound at Exits 246 248A I-20.
0,Slow traffic due to accident on GA-237 Piedmont Rd both ways at Paces Ferry Rd.
0,Slow traffic due to accident on GA-237 Piedmont Rd Northbound at GA-236 Lindbergh Dr.
0,Slow traffic due to accident on Oak Valley Rd both ways at GA-141 Peachtree Rd.
1,Slow traffic due to accident on I-85 Northbound between Exit 86 and Exits 86 87 GA-400.
1,Slow traffic due to accident on I-20 Westbound at Exits 60 60A 60B US-23 Moreland Ave.
1,Lane blocked on exit ramp due to accident on I-285 Eastbound at I-285 Exit 29 / Ashford Dunwoody Rd.
0,Accident on GA-166 Arthur Langford Pkwy at Sylvan Rd.
1,Queueing traffic and left lane blocked due to accident on I-20 Westbound after Exit 55A Oak St.
1,Slow traffic and 5th lane blocked due to accident on I-20 Eastbound at Exit 55B Lee St.
1,Accident on I-20 Westbound at Exit 49 GA-70 Fulton Industrial Blvd.
0,Accident on Jefferson St both ways in Atlanta.
1,Queueing traffic and left lane blocked due to accident on I-20 Westbound at Exits 52 52A 52B Burton Rd.
1,Slow traffic and 4th lane blocked due to accident on I-75 Southbound before Exits 249C 249D I-85 I-75.
0,Slow traffic due to accident on US-29 Ponce de Leon Ave around Kennesaw Ave.
1,Slow traffic due to accident on I-75 Southbound at Exits 248C 248D I-85 I-75.
1,Accident on I-75 Northbound at Exit 241 Cleveland Ave.
1,Center-left lane blocked due to accident on I-75 Northbound at Edgewood Ave.
0,Left lane blocked and left hand shoulder blocked due to accident on GA-400 Southbound before Exit 6 Northridge Rd.
1,Accident on I-20 Westbound at Capitol Ave.
0,Accident on US-41 Northside Dr at 10th St.
0,Accident on Ridgewood Rd Eastbound at Moores Mill Rd.
1,Second left lane blocked due to accident on I-75 Southbound before Exit 252 Howell Mill Rd.
1,Left hand shoulder blocked due to accident on I-20 Westbound before Exit 61B GA-260 Glenwood Ave.
0,Accident on Martin Luther King Jr Dr at Vine St.
0,Accident on Piedmont Ave at 13th St.
1,Center lane blocked due to accident on I-75 Northbound after GA-54 University Ave.
0,Accident on US-19 Peachtree Rd at Peachtree Memorial Dr.
0,Accident on Collier Rd near Dellwood Dr.
0,Accident on Bolton Rd at Rey St.
1,Delays and left hand shoulder blocked due to accident on I-285 Northbound at Exit 18 Paces Ferry Rd.
0,One lane blocked due to accident on GA-400 Northbound at Exit 6 Northridge Rd.
0,Accident on Paces Ferry Rd at Peachtree Dr.
0,Accident on Marietta St at Decatur St.
0,Accident on GA-400 Southbound at Exit 2 Lenox Rd.
