Label,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Number,Street,Side,City,County,State,Zipcode
1,11/30/16 15:25,11/30/16 16:54,33.766376,-84.527321,,,0.01,,GA-402 E,R,Atlanta,Fulton,GA,30336
1,11/30/16 14:42,11/30/16 16:57,33.786896,-84.493134,,,0.01,,Donald Lee Hollowell Pkwy NW,R,Atlanta,Fulton,GA,30331
0,11/30/16 16:27,11/30/16 16:57,33.697849,-84.418266,,,0.01,,Sylvan Rd,R,Atlanta,Fulton,GA,30344
1,11/30/16 16:14,11/30/16 16:58,33.696915,-84.404984,,,0.01,,Arthur Langford Pkwy E,R,Atlanta,Fulton,GA,30315
1,11/30/16 16:13,11/30/16 16:57,33.796211,-84.393692,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
1,11/30/16 15:49,11/30/16 17:20,33.791683,-84.391472,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30309
0,11/30/16 15:48,11/30/16 17:18,33.751411,-84.390968,,,0.01,108,Martin Luther King Jr Dr SW,L,Atlanta,Fulton,GA,30303-3506
1,11/30/16 15:11,11/30/16 16:56,33.781532,-84.390869,,,0.01,110,10th St NW,L,Atlanta,Fulton,GA,30309-3810
1,11/30/16 14:41,11/30/16 16:56,33.77129,-84.390472,,,0.01,,North Ave NW,R,Atlanta,Fulton,GA,30308
1,11/30/16 16:23,11/30/16 17:08,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
0,11/30/16 16:25,11/30/16 17:11,33.839458,-84.36927,,,0.01,3079,Piedmont Rd NE,L,Atlanta,Fulton,GA,30305-2625
0,11/30/16 13:37,11/30/16 17:21,33.821323,-84.367523,,,0.01,,Piedmont Rd NE,R,Atlanta,Fulton,GA,30324
0,11/30/16 16:15,11/30/16 17:29,33.851852,-84.361008,,,0.01,3498,Peachtree Rd NE,L,Atlanta,Fulton,GA,30326-1226
1,11/30/16 15:46,11/30/16 17:01,33.821548,-84.359383,,,1.43,,GA-403 N,R,Atlanta,Fulton,GA,30324
1,11/30/16 15:56,11/30/16 16:55,33.745556,-84.349213,,,0.01,,GA-402 W,R,Atlanta,Fulton,GA,30316
1,11/30/16 14:39,11/30/16 17:32,33.917973,-84.338135,,,0.01,,Ashford Dunwoody Rd NE,R,Atlanta,DeKalb,GA,30319
0,11/30/16 16:46,11/30/16 17:32,33.697849,-84.418266,,,0.01,,Sylvan Rd,R,Atlanta,Fulton,GA,30344
1,11/30/16 17:37,11/30/16 18:06,33.741447,-84.417572,,,0.01,,Joseph E Lowery Blvd SW,R,Atlanta,Fulton,GA,30310
1,11/30/16 18:11,11/30/16 18:41,33.741333,-84.414047,,,0.01,,Lee St SW,R,Atlanta,Fulton,GA,30310
1,11/30/16 18:18,11/30/16 18:46,33.766376,-84.527321,,,0.01,,GA-402 E,R,Atlanta,Fulton,GA,30336
0,11/30/16 18:15,11/30/16 18:45,33.7756,-84.422287,,,0,,Jefferson St NW,R,Atlanta,Fulton,GA,30318
1,11/30/16 18:30,11/30/16 18:59,33.757103,-84.468964,,,0.01,,Hamilton E Holmes Dr NW,R,Atlanta,Fulton,GA,30318
1,11/30/16 19:00,11/30/16 19:29,33.769001,-84.390511,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30308
0,11/30/16 19:12,11/30/16 19:41,33.773834,-84.369759,,,0.01,,Kennesaw Ave NE,R,Atlanta,Fulton,GA,30308
1,11/30/16 20:24,11/30/16 20:53,33.760628,-84.379715,,,0.01,,I-75 N,R,Atlanta,Fulton,GA,30308
1,12/1/16 6:17,12/1/16 7:17,33.681126,-84.398689,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30354
1,12/1/16 6:28,12/1/16 6:58,33.754379,-84.3787,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30303
0,12/1/16 6:22,12/1/16 6:51,33.982327,-84.341644,,,0.01,,Northridge Rd,R,Atlanta,Fulton,GA,30350
1,12/1/16 7:25,12/1/16 8:25,33.74424,-84.387733,,,0.01,,GA-402 W,R,Atlanta,Fulton,GA,30312
0,12/1/16 7:29,12/1/16 8:14,33.781254,-84.407486,,,0.01,,Northside Dr NW,R,Atlanta,Fulton,GA,30318
0,12/1/16 7:38,12/1/16 8:34,33.823555,-84.448212,,,0.01,1867,Moores Mill Rd NW,R,Atlanta,Fulton,GA,30318-1353
1,12/1/16 8:09,12/1/16 8:39,33.805141,-84.413338,,,0.01,,Howell Mill Rd NW,R,Atlanta,Fulton,GA,30318
1,12/1/16 8:07,12/1/16 8:36,33.739838,-84.328239,,,0.01,,Glenwood Ave SE,R,Atlanta,DeKalb,GA,30316
0,12/1/16 8:32,12/1/16 9:32,33.754696,-84.407867,,,0.01,2,Vine St NW,L,Atlanta,Fulton,GA,30314
0,12/1/16 8:53,12/1/16 9:23,33.7854,-84.37838,,,0.01,299,13th St NE,R,Atlanta,Fulton,GA,30309-3617
1,12/1/16 8:55,12/1/16 9:24,33.722115,-84.394592,,,0.01,,University Ave SW,R,Atlanta,Fulton,GA,30315
0,12/1/16 9:05,12/1/16 9:34,33.816216,-84.39035,,,0.01,2,Peachtree Memorial Dr NW,L,Atlanta,Fulton,GA,30309
0,12/1/16 9:18,12/1/16 9:48,33.808823,-84.399216,,,0.01,385,Collier Rd NW,R,Atlanta,Fulton,GA,30309-1706
0,12/1/16 9:24,12/1/16 9:54,33.802216,-84.48571,,,0.01,1730,Bolton Rd NW,L,Atlanta,Fulton,GA,30318-3328
1,12/1/16 10:14,12/1/16 10:43,33.864307,-84.479675,,,0.01,,I-285 S,R,Atlanta,Cobb,GA,30339
0,12/1/16 10:14,12/1/16 10:44,33.982327,-84.341644,,,0.01,,Northridge Rd,R,Atlanta,Fulton,GA,30350
0,12/1/16 10:36,12/1/16 11:36,33.842838,-84.362961,,,0,745,E Paces Ferry Rd NE,R,Atlanta,Fulton,GA,30305-2716
0,12/1/16 11:05,12/1/16 12:05,33.754311,-84.389763,,,0.01,2,Marietta St NW,L,Atlanta,Fulton,GA,30303-2813
0,12/1/16 11:57,12/1/16 12:27,33.851906,-84.369965,,,0.01,,GA-400 S,R,Atlanta,Fulton,GA,30342
1,12/1/16 12:18,12/1/16 13:18,33.762119,-84.381516,,,0.01,175,Baker-Highland Connector NE,R,Atlanta,Fulton,GA,30308
1,12/1/16 12:58,12/1/16 13:28,33.791626,-84.391701,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30309
0,12/1/16 12:59,12/1/16 13:28,33.758179,-84.34922,,,0.01,164,Moreland Ave NE,L,Atlanta,Fulton,GA,30307-2625
0,12/1/16 13:42,12/1/16 14:12,33.911575,-84.357521,,,0.01,,GA-407 W,R,Atlanta,Fulton,GA,30342
1,12/1/16 13:41,12/1/16 14:11,33.917973,-84.338135,,,0.01,,Ashford Dunwoody Rd NE,R,Atlanta,DeKalb,GA,30319
1,12/1/16 14:38,12/1/16 15:08,33.754379,-84.3787,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30303
1,12/1/16 15:40,12/1/16 16:10,33.884594,-84.469887,,,0.01,,I-285 W,R,Atlanta,Cobb,GA,30339
1,12/1/16 16:26,12/1/16 16:54,33.884377,-84.250778,,,0.01,,GA-407 W,R,Atlanta,DeKalb,GA,30341
0,12/1/16 16:47,12/1/16 17:32,33.931988,-84.357719,,,0.01,,Turner McDonald Pkwy N,R,Atlanta,Fulton,GA,30328
1,12/1/16 17:53,12/1/16 18:22,33.585121,-84.51313,,,0.01,,GA-403 S,R,Atlanta,Fulton,GA,30349
1,12/1/16 18:04,12/1/16 18:33,33.884594,-84.469887,,,0.01,,I-285 W,R,Atlanta,Cobb,GA,30339
1,12/1/16 18:53,12/1/16 19:22,33.881222,-84.453125,,,0.01,,Cumberland Blvd,R,Atlanta,Cobb,GA,30339
1,12/1/16 20:22,12/1/16 20:50,33.744976,-84.390343,,,0.01,,I-75 S,R,Atlanta,Fulton,GA,30312
1,12/2/16 5:25,12/2/16 5:52,33.619968,-84.4869,,,0.01,,I-285 E,R,Atlanta,Fulton,GA,30337
1,12/2/16 5:23,12/2/16 5:51,33.63892,-84.401093,,,0.01,,I-75 S,R,Atlanta,Clayton,GA,30354
1,12/2/16 5:28,12/2/16 6:27,33.74649,-84.430565,,,0.01,,GA-402 E,R,Atlanta,Fulton,GA,30310
1,12/2/16 6:46,12/2/16 7:15,33.616844,-84.438622,,,0.01,,Riverdale Rd,R,Atlanta,Clayton,GA,30349
0,12/2/16 7:08,12/2/16 7:37,33.619968,-84.4869,,,0.01,,I-285 E,R,Atlanta,Fulton,GA,30337
1,12/2/16 7:56,12/2/16 8:40,33.618126,-84.48774,,,0.01,,GA-14 Spur,R,Atlanta,Fulton,GA,30349
1,12/2/16 7:53,12/2/16 8:23,33.864307,-84.479675,,,0.01,,I-285 S,R,Atlanta,Cobb,GA,30339
1,12/2/16 8:00,12/2/16 9:00,33.696915,-84.404984,,,0.01,,Arthur Langford Pkwy E,R,Atlanta,Fulton,GA,30315
0,12/2/16 8:47,12/2/16 9:47,33.784256,-84.378899,,,0.01,257,12th St NE,R,Atlanta,Fulton,GA,30309-4010
1,12/2/16 8:50,12/2/16 9:20,33.750488,-84.44416,,,0.01,,W Lake Ave SW,R,Atlanta,Fulton,GA,30310
0,12/2/16 9:22,12/2/16 9:52,33.696011,-84.486267,,,0.01,2995,Campbellton Rd SW,R,Atlanta,Fulton,GA,30311-5409
