Severity,Description
0,Accident on WA-513 Montlake Blvd at Pacific St.
0,Right lane blocked due to accident on Pine St Westbound at Minor Ave.
0,Lane blocked and very slow traffic due to accident on 45th St at Roosevelt Way.
0,Lane blocked and very slow traffic due to accident on Madison St both ways near 8th Ave.
0,Lane blocked and very slow traffic due to accident on 35th Ave at Avalon Way.
0,Accident on Marginal Way at Highland Park Way.
0,Accident on Eastlake Ave at Boston St.
0,Accident on Woodlawn Ave at Wallingford Ave.
0,Accident on 125th St at WA-99 Aurora Ave.
0,Accident on WA-522 Lake City Way near 107th St.
0,Right lane blocked due to accident on 3rd Ave Northbound at Virginia St.
1,Restrictions on exit ramp due to accident on I-5 Southbound at Exit 161 / Albro Pl.
1,Two lanes blocked due to accident on I-5 Northbound at Exit 158 WA-900 Martin Luther King Jr Way.
0,Accident on 100th St at 5th Ave.
0,Accident on Dexter Ave near 4th Ave.
0,Accident on 22nd Ave at Union St.
0,Accident on Alton Ave at 106th St.
0,Accident on 23rd Ave at Union St.
0,Accident on 102nd St at Dayton Ave.
0,Accident on 22nd Ave at Union St.
0,Accident on 57th St near 15th Ave.
0,Accident on 2nd Ave near Cedar St.
0,Accident on Alton Ave at 117th St.
0,Very slow traffic and right lane blocked due to accident on Northgate Way Eastbound at Roosevelt Way.
0,Accident on 80th St at 28th Ave.
0,Accident on Burke Ave at Northgate Way.
1,Slow traffic and HOV lane blocked due to accident on I-5 Northbound near Exits 163 163A 163B Seattle Brg.
0,Accident on 113th St at 30th Ave.
0,Slow traffic due to accident on Madison St at Summit Ave.
1,Slow traffic due to accident on I-5 Southbound at Exits 149 149A 149B WA-516 Kent des Moines Rd.
0,Left lane blocked due to accident on WA-520 Eastbound at Lake Washington Blvd.
0,Slow traffic and two left lane blocked due to accident on WA-99 Southbound near Michigan St / 1st Ave.
0,Accident on 48th Ave at Oregon St.
0,Right lane blocked due to accident on 3rd Ave Southbound at Clay St.
0,Accident on 51st Ave at Roxbury St.
1,Restrictions on exit ramp due to accident on I-5 Northbound at Exit 158 WA-900 Martin Luther King Jr Way.
0,Accident on Airport Way at Hardy St.
0,Accident on Martin Luther King Jr Way at Myrtle St.
0,Accident on 80th St at 15th Ave.
0,Accident on Pine St at Boylston Ave.
0,Accident on WA-519 Alaskan Way at Marion St.
0,Accident on Westlake Ave at Stewart St.
0,Right lane blocked due to accident on WA-99 Aurora Ave Southbound near Battery Street Tunl.
0,Center lane blocked due to accident on Mercer St Westbound at Terry Ave.
0,Accident on Airport Way at Hardy St.
0,Accident on 80th St near 15th Ave.
0,Slow traffic due to accident on 1st Ave at Broad St.
0,Slow traffic due to accident on 35th Ave at Othello St.
0,Lane blocked and very slow traffic due to accident on 7th Ave at Michigan St.
0,Accident on Ashworth Ave at Roosevelt Way.
0,Slow traffic due to accident on Union St at 3rd Ave.
0,Lane blocked and slow traffic due to accident on 50th St Northbound at 12th Ave.
0,Very slow traffic and center lane blocked due to accident on WA-99 Aurora Ave Northbound at WA-523 145th St.
1,Very slow traffic and HOV lane blocked due to accident on I-5 Northbound after Exits 161 162 Bailey St.
1,Very slow traffic and left lane blocked due to accident on I-90 Eastbound at Exits 2B 2C I-5.
0,Two lanes blocked and very slow traffic due to accident on WA-520 Eastbound before Lake Washington Blvd.
0,Accident on 25th Ave at WA-523 145th St.
1,Left lane blocked due to accident on I-5 Northbound at I-5 Exits 166 167 / Seneca St.
